,Target_0,Target_1,Target_2,Target_3,Target_4,Target_5,Target_6,Target_7,Target_8,Target_9,Target_10,Target_11,Target_12,Target_13,Target_14,Target_15,Target_16,Target_17,Target_18,Target_19,Target_20,Target_21,Target_22,Target_23,Target_24,Target_25,Target_26,Target_27,Target_28,Target_29,Target_30,Target_31,Target_32,Target_33,Target_34,Target_35,Target_36,Target_37,Target_38,Target_39,Target_40,Target_41,Target_42,Target_43,Target_44,Target_45,Target_46,Target_47,Target_48,Target_49
Reg_0,,-0.009180416825405753,0.020047019525906595,-0.02689610422663755,0.01299116215870759,0.003116534316322362,-0.0017561151697939852,-0.02226135192665748,0.05156546219418695,0.0020504925406086456,0.0043317542848609605,-0.009946359515843772,-0.02618556348494923,-0.03217545867907613,0.011873770980131013,0.007968189110591729,0.011749867830317553,0.005763841467471035,0.0056481700054031156,0.005546171427145753,0.016016615282185502,-0.023377692295750086,-0.021266704068710254,-0.034883172331892746,0.014812368753614559,-0.001521582537141407,0.0028407515557245565,0.006245208211727023,-0.0030160723164749876,-0.004504658431237154,0.009540519746329952,-0.020057893660372018,0.012399441687765396,-0.0013528803023349805,-0.04582127971036044,0.018173134908138495,0.013041680857683258,0.012370073492225334,0.0007107724131395344,-0.016403026904185436,0.03765551405964821,0.00955042123802494,-0.0038067722344964153,0.005155772429905985,-0.0318653861945584,0.0006872287885875137,0.009569630124172317,0.009967171935108531,-0.017244552822789062,-0.008657986621927346
Reg_1,0.0006221558104150738,,0.009866399220367144,0.0006095149459496926,0.004144649813458486,1.8958908547680795e-05,0.004302303191734642,0.0035215889975425394,0.007117108126084548,0.001792640808947419,0.00046640724742187244,-0.008219320281380196,-0.006274144224929522,-0.0016911153886313632,0.0054467234327386874,0.003761655666765791,0.007976055286240367,-0.0018115870105225183,0.006783399207641782,0.004983527059737699,0.006498521161610167,-0.0004211283708563126,-0.022284724689019673,-0.00709146472015418,-0.00446043104752883,0.004997156005160005,-0.004306602883967699,0.0014734936071336263,-0.004868368781472206,-0.0076252467095298,0.0005165960066154105,0.0009991398716700552,0.0012067862487228967,0.0022141059045634663,-0.0077470940394636445,0.008728112032428148,-0.006260264828194358,0.00038011254862272553,0.002735263458843862,-0.0014125575941226053,0.0059567961809562165,-0.0029374247259618485,-0.0012327827905791102,-0.0035183155227338702,-0.0004703593780430297,-0.0017822036896687004,-0.014802402399713425,0.005402016838872924,-0.016436896023418156,-0.01552118566230114
Reg_2,-0.0006320000615313373,0.004108768570510875,,0.0009504615386666083,0.0056441871419505634,0.0011960321161835603,0.006378509556974329,0.003147878845986308,0.0016492126578372512,0.008014693701771726,-0.0006834295016322255,-0.005894439906980057,-0.003166055265355053,0.00021608108228716305,0.005336014855917887,0.0033710641082554953,0.010379543079645726,-0.0017089345771675996,0.006313212795506813,0.0014053443851793736,0.005188786732416717,0.0011911671972684218,-0.029265922235653143,-0.0015040488095900916,-0.0029702327193521735,0.001187168207741874,-0.004523604477403757,0.004176058930461845,-0.007674469989143023,-0.00969456786699293,0.004472343802531556,0.004808579922366064,0.004955570863760581,0.002146368775956932,9.406096769507392e-05,0.009261710660100512,-0.0028841722357876576,-0.002593995350506393,0.0029977659845285692,0.0014918029301594447,-0.0006823054116517148,0.0014988409436803532,-0.006490127326612851,0.004489415228185474,0.0021095664869613937,-0.0015620978439656085,-0.0032848783303350507,0.001729536376317534,-0.004614398123522797,-0.0032069393503555872
Reg_3,-0.0034744004965652996,0.006027269622161976,-0.008560693076470824,,-0.006083357422402759,-0.005556879212277036,-0.0031681921601745757,0.01845506797057318,-0.012966055789116812,-0.029978651639447,0.0035564932309430112,0.01757415706953474,0.009456456356658316,0.014942039778110365,-0.018982290590869227,-0.002837309147549517,-0.012891638594336651,-0.011095079861237676,-0.004443177856048366,-0.00017617695775372981,-0.001095405999237595,-0.006439897566971155,0.006726224751401655,0.03132848653115848,-0.012020807922969588,0.0021137453536082718,-0.006932786639544525,-0.004998558838125472,-0.00814103280488466,0.0029264622148053856,-0.013732479253324362,-0.004630594725864761,-0.010854409317952953,-0.00018437441687670767,0.010201590502061764,-0.002433811058254837,-0.012410896531393902,0.0009056857036430425,-0.002806750604337679,0.004373406726662009,0.0003111017628034252,-0.006357964038564191,0.005848237085223728,-0.006874165054309418,0.017299603359735106,0.00012863328251390207,-0.01281181411742792,0.0005904289626950685,-0.0018921180344773896,0.0002573366263425235
Reg_4,-0.001024461394340527,0.0039791323007675825,0.015323820878097947,0.0017245870364017482,,0.0012598250559889882,0.005654305489549658,0.003566029901736893,0.0012494779839664052,0.009173413402128825,-1.8749064056212428e-06,-0.004545485226649342,0.0003486081787962771,0.0012536092747986055,0.00592125513057776,0.005100506639043779,0.012435196100934251,-0.00307852978070936,0.009007356879350151,-0.0001743801740535858,0.0029530838226693086,0.0016112211206512654,-0.021382787790727432,-0.005398008489114553,-0.0009518486860801361,-7.027174816252537e-05,-0.0036563738182774468,0.004432736493089154,-0.0026807348965854653,-0.007585644542208098,0.003325948606636845,0.0033450481374526476,0.004203021423583251,0.0017139539940540965,0.0021171526317506012,0.006980069684633912,-0.0037163586021047267,-0.004014478578591661,0.0031795070929801672,0.0018773104486059869,0.0004433058190673188,0.003830658431743839,-0.0025549014075988094,0.0010245716352619103,0.0017244195925481235,-0.0026364560323606867,-0.005877636934739317,0.0019292716123986864,-0.003218545829345359,-0.0009822191022109026
Reg_5,-0.007064513497944944,0.006971243643533884,0.0031825064973116535,0.012575391710865271,-0.0043961196546058266,,0.00821412964034742,0.005184143349254697,-0.00704542004495552,0.07525184722187629,-0.008030536308033805,0.005720201419416816,0.005689293766854101,0.01336895602837393,0.0611009408161079,0.0033221101257042947,0.014782281977142415,0.005784473134160511,0.016932393847008995,0.0004523257880791176,-0.006817116129186739,0.02315176601496592,-0.008408444145113596,0.015591007318359416,-0.011893642622422998,0.0070677725895786905,-0.006747298004844793,0.028530985363125566,-0.031808317023794594,-0.016051794860643922,0.008253393047983303,0.04675558278336354,0.00825526459077704,0.005019285826912889,0.012358363007123212,-0.002188791699806162,-0.010775810344769633,-0.005210843400337498,0.013278147277910692,0.005950169324671617,-0.02054694974311534,0.03719370815550147,-0.022580946271482556,0.007214135331382245,0.021662764544536566,-0.002185700985479689,-0.0009888252419237799,-0.0034675195651748814,0.0013092408791670496,-0.0024040872131155192
Reg_6,-0.0004789928676169681,0.009454930772840691,0.04215480007995755,0.0015187213419033557,0.012222652550214153,0.0008529484956081698,,0.0035985759519907147,0.0017039234330830876,0.008281818771665181,-0.0008499796908838181,-0.007173799818610281,-0.0026633174074321276,0.0009855173517661375,0.005731721394999087,0.004506125277183738,0.012620638510551403,-0.00332850329176117,0.010644636652455144,0.0025117244733610412,0.008663647078529922,0.0014459365986399918,-0.04139792087135276,-0.007404041297087065,-0.0042357286615771735,0.0010240171847364361,-0.005825371077723995,0.003981467757963127,-0.0056230944976992745,-0.01542140609029777,0.0033107927220992336,0.0047867750192888015,0.004526446535346829,0.003431484171196674,-5.775842288976759e-05,0.010116096295536958,-0.0028729269969120894,-0.0030374838822208217,0.0037835187623203237,0.0002940675824691344,0.0018787466706105258,0.0013799103477143517,-0.004874682068763498,0.0023408999040517896,0.0033134702997744975,-0.0024956543745270404,-0.008041983573518326,0.0026367126867247984,-0.007848260063628083,-0.004146765362069261
Reg_7,0.0002142864444106688,0.0004664854588728262,-0.013635964702260544,0.0013801299983193767,-0.0019363984781160261,-0.0023090410053502584,-0.0029852146434267376,,-0.003638551705773548,-0.007866030074460791,0.00130585979838531,0.023862054849399583,0.0032591623190908283,0.0031113861265747267,-0.0027430515001517176,-0.004163536833942695,-0.008650134228435847,-0.0024543350844601014,-0.006957322448613769,-0.0021195911532589985,-0.004988109973926658,-0.004795356850672622,0.023331860926638557,-0.003482828942099399,0.0013583631055771414,0.004494938633548019,-0.0026179695716158817,-0.004798389163523994,0.0033811831795140857,0.007584417452164425,-0.0048943583528029055,-0.007956164451939111,-0.007049539637844986,-0.001802137643701733,0.0031100876653347136,-0.0087429895633276,-0.004275930124092632,0.003594736086700553,-0.0028547946321751585,-0.0006850179659205738,-0.004233895976836217,-0.003256649332290847,0.004763608055401446,-0.008734312724729257,-0.005330967037682899,0.0005746164003992349,-0.0008942154991628232,0.0003675724387530342,0.0014348414307590372,0.0017840573660690316
Reg_8,-0.00157283259560572,-0.006954536276434157,0.004915114440647886,-0.00425113523557002,0.00492345807875194,0.000986448564813389,0.005129623228550212,-0.025274950508455754,,0.006032816622305942,0.012997337012411634,-0.01113431462225118,-0.018066456902108754,-0.006173162061092628,-0.007232702769595474,0.009788568359003757,0.007181511063495236,-0.00613624755500715,0.00957564688104809,7.337570648491782e-05,0.0065145670704204505,-0.001469076349463969,-0.037034690963174834,-0.01314599944025321,-0.0009057058267619179,-0.007924741173270916,-0.0008403232014799037,0.003808371025382025,0.008537933577623738,-0.005652617137868159,0.006275424045362935,0.004302490718380605,0.00043138668052240293,-0.0013530405264131282,-0.011712894715141408,0.0022390352828693984,-0.0019048920037094534,-0.006687527944988372,-0.001173461652013102,0.00776144468338855,0.018273112774356243,0.00542659471341154,-0.0018568441628519033,0.004763408700749697,0.006890392356469207,-0.0021363131239857743,-0.0030526415003673084,0.0019084230977565045,-0.005590760743549073,0.0011948392156751239
Reg_9,-0.0010674848191911375,0.0015816811368218773,-0.00012223434677869615,0.003736972699264424,-0.00014444258420751534,-0.00035777749260625157,0.0006628770263516485,0.0026726337538936864,-0.000872762467784577,,-0.00027539958943807524,0.0029951111741315342,0.0008940879331143316,0.00262842600486685,0.005497176972534618,0.0012435104141729906,0.0004537025233613639,-0.0002161766322989864,0.0022068417582642675,-0.00043580541014847344,-0.0010271521467924904,0.004427123948317092,0.00014874468581031338,0.0034936089045007087,-0.0033257222519443783,0.000686370399815609,-0.002574880173417091,0.0042546931078999385,-0.0024476953692481544,-0.002300388311761169,-0.0013813366238277513,0.0076024556212458275,-0.0016809688315416102,0.0006303717200384827,0.0015613657793613733,-0.001260898527911547,-0.0027548391340477714,0.00027212707587255915,0.0030284682498670674,0.0025057985650912495,-0.004043401016145746,0.00020083167052684325,-0.003781018217600397,-0.00039809683258882223,0.0054813141325089024,-0.0006721316247720212,-0.003111566350026132,-0.0003630423517047751,5.920353591008578e-05,-0.0004538860580813041
Reg_10,-0.001962338516437772,-0.003937752469264452,-0.009120247436547468,-0.0014473768339456929,-0.0018879367556337624,-0.0011377250615716712,-0.0010277645666206846,-0.0004711867415354948,-0.004728967240189771,-0.0006647681013802489,,0.0043069253446412666,0.004115993400664424,0.001769299238740963,-0.02433190986185563,0.0026062408657401594,0.0016813453567813682,-0.0038475101934532076,-0.003885357315672663,-0.0008927334754401143,-0.0007691760213825136,-0.0005622008133664054,0.006099957602248207,0.006280376897773386,0.005691836346253049,-0.014210651063563402,0.0043249267421978516,-0.00417608803952421,0.0322951590067095,0.006149664060754155,-0.0009754217752603081,-0.009310137212053317,-0.004861477145834615,-0.0019831665516303575,0.008293226855089776,-0.0073105645716813545,-0.0006435216763173622,-0.01407022788009638,-0.0016560002871940948,0.014970191011815775,0.0006496601491840643,0.010322133585996287,0.008617329001400217,-0.004023947315216393,0.006319155424644621,-0.001174935766305057,0.0006629488276133327,-0.0003697429215642866,0.012037552299243201,0.007052661144253253
