target,regressor,total_pnl,mse,score
0,1,-196.34546776492417,2.2194841001628446e-05,-1.1157879691623809
0,2,-106.15964333613364,2.1874024242984567e-05,-0.813201038518744
0,3,-118.90666114037806,2.175146402589656e-05,-0.8560908018052928
0,4,-192.4453315890213,2.2143249810770148e-05,-1.1027438960785254
0,5,-128.50559737569617,2.225075014224163e-05,-0.8883618094343089
0,6,-94.51469032591831,2.1325977659709472e-05,-0.7739843491547278
0,7,-253.45735560358798,2.2206769087570075e-05,-1.3063689997960053
0,8,-185.94239012422952,2.2411712320352452e-05,-1.0809863519579934
0,9,-229.0198872084166,2.224195828775764e-05,-1.224920563274097
0,10,-177.68427922738846,2.222014692955241e-05,-1.053341332980899
0,11,-151.93882361789196,2.1750060655683777e-05,-0.9670474627759607
0,12,-154.88349000543968,2.205012265157665e-05,-0.9769256942326834
0,13,-169.3767599625766,2.2275249676185186e-05,-1.0255139539477016
0,14,-94.33576707008956,2.2319400562318982e-05,-0.7733815285156243
0,15,-136.05978462531,2.2053416655396993e-05,-0.9137425383805955
0,16,-160.43263159113945,2.1978461175743717e-05,-0.9955351407645412
0,17,-133.3488827839989,2.2067475742372303e-05,-0.9046360064508717
0,18,-201.18822662623504,2.2137820378948017e-05,-1.1319794363151423
0,19,-199.94956772751897,2.2359879088923262e-05,-1.1278386071828774
0,20,-150.38598493343068,2.2345150506762178e-05,-0.9618374217686612
0,21,-203.1464751081248,2.2365722541072885e-05,-1.1385250763349093
0,22,-92.24573188648672,2.1901946921079592e-05,-0.7663392852255433
0,23,-46.24945471523431,2.1718257003155266e-05,-0.6110841545583439
0,24,-89.76189962689814,2.191601740938865e-05,-0.757968764460472
0,25,-149.6834893567516,2.1942062686264963e-05,-0.9594802331006891
0,26,-225.85923852764114,2.2208147377001822e-05,-1.2143755251500885
0,27,-200.33764616706293,2.2112024373639254e-05,-1.129135991774728
0,28,-130.91476792941944,2.188549522381594e-05,-0.8964577219481126
0,29,-195.89789023505122,2.2052987566344045e-05,-1.1142912289818385
0,30,-159.47809958638297,2.209902611292747e-05,-0.9923345889913532
0,31,-71.52262763444709,2.1887256289302574e-05,-0.6964556671623765
0,32,-157.29624547087883,2.193588574493852e-05,-0.9850179756959243
0,33,-99.96621614306464,2.18119246175981e-05,-0.7923476099177733
0,34,-138.68385032607262,2.2336707362279896e-05,-0.9225556438017934
0,35,-80.20133191574105,2.1336502896144568e-05,-0.7257354031224816
0,36,-166.3060011668639,2.2107225338749606e-05,-1.0152236461748907
0,37,-216.34833278514395,2.207113984136684e-05,-1.1826288815535297
0,38,-132.9335552414309,2.233332862319375e-05,-0.9032406674430051
0,39,-171.44359078208208,2.225320657845428e-05,-1.03243872717868
0,40,-113.23573371352354,2.2138766605311173e-05,-0.8370148361683978
0,41,-226.06504560813528,2.226364699654577e-05,-1.2150622453794664
0,42,-185.16072928151283,2.2364510264110358e-05,-1.0783703687018518
