ins_0,ins_1,ins_2,ins_3,ins_4,ins_5,ins_6,ins_7,ins_8,ins_9,ins_10,ins_11,ins_12,ins_13,ins_14,ins_15,ins_16,ins_17,ins_18,ins_19,ins_20,ins_21,ins_22,ins_23,ins_24,ins_25,ins_26,ins_27,ins_28,ins_29,ins_30,ins_31,ins_32,ins_33,ins_34,ins_35,ins_36,ins_37,ins_38,ins_39,ins_40,ins_41,ins_42,ins_43,ins_44,ins_45,ins_46,ins_47,ins_48,ins_49
-0.003660131,0.013321749,0.004993557,-0.001886792,-0.008252658,-0.002473498,0.005415651,-0.008790192,-0.010872134,0.015437138,-0.000370508,-0.00605049,-0.002564103,-0.004385965,0.016532258,0.001577598,0.005741127,0.020505309,0.004066143,-0.003067485,-0.004156276,-0.010759115,-0.005580654,-0.004216232,0.003528028,0.010474195,-0.004895295,0.01871345,0.005625639,0.011900335,-0.000980713,0.002176279,0.016716567,-0.016434263,0.002096436,0.000664452,0.008064516,0.006255283,0.003306498,-0.002181574,0.0040328,0.00968523,0.004326123,-0.015178346,-0.004732483,-0.00524109,0.001110648,0.000832639,0.000263054,0.001454545
-0.005510365,-0.006001715,0.00689213,-0.005356018,0.00400064,0.013106624,-0.015082144,0.003267211,-0.008841099,0.020903377,-0.021497405,-0.009026029,0.027910393,0.00363915,0.016461722,-0.000787557,0.002767687,0.001076426,0.004319654,0.001230769,-0.001252087,-0.003625378,-0.017236772,-0.010736428,-0.000130208,-0.002638522,0.010385351,0.008419441,-0.012205459,0.009187799,-0.013743455,-0.001395998,0.000981595,0.006582278,-0.008158996,-0.008189464,0.007215686,0.02671371,-0.000859722,0.007904474,0.006024903,-0.013429257,-0.002982107,-0.019522219,-0.001981244,0.000351247,0.005963112,-0.011647255,-0.005128205,0.000363108
-0.006860158,-0.002443933,0.007004139,-0.000316756,-0.014185528,0.002447552,0.014219305,0.005582694,-0.005785921,0.00744559,0.031439394,0.000847278,-0.017148982,0.012977099,0.007219512,-0.00453202,-0.015352769,-0.008243728,-0.013978495,0.00983405,0.001671542,-0.001819284,-0.013052345,0.007031489,0.008334419,0.018707483,0.002975385,0.00683112,-0.001029689,-0.03605244,-0.004976775,-0.004349177,0.013483697,-0.004024145,0.004218519,0.007810757,0.012147641,-0.02978236,-0.003872078,-0.001668613,0.001330849,0.005833738,-0.000332336,0.001833901,-0.002779248,0.00386236,0.016680452,0.008838384,0.000660851,0.006896552
0.001594049,0.004611616,0.012330066,-0.004435995,0.002748585,-0.008719916,0,-0.007633588,0.003879728,-0.01762365,-0.002937936,0.007619048,0.01999273,-0.005275057,0.006005424,0.003365004,0.012088297,0.000361402,-0.009541985,0,0.003754693,-0.003341434,0.003168481,0.013509411,-0.000387447,0.004080876,-0.003236246,-0.00640784,0.008074214,0.008311296,0.004668223,-0.00374415,0.001451379,0.005555556,0.002730519,0.003100089,0.010001539,-0.008601788,0.002303484,0.004178506,0.001196172,0.007491542,0.008643617,-0.010198745,-0.001857996,-0.001399091,0.007728814,0.001668753,0.000792498,-0.007209805
-0.000795756,0.002725577,0.005153029,-0.013049013,0.003224766,0.008444757,-0.021569156,-0.006060606,-0.00531401,-0.01171875,-0.007366483,-0.001470279,-0.006771205,-0.002651515,-0.023878298,0.002564608,0.006058508,0.00867052,0.011560694,-0.001217285,-0.003117207,-0.010667479,0.00782752,0.003744196,-0.003488372,0.004987992,-0.004329004,0.006069803,0.012951602,0.014612214,0.00132758,-0.007516442,0.011111111,-0.004520342,-0.003142019,0.003311258,0.001523461,0.007315413,0.004021833,0.002496671,0.000663746,-0.008395299,0.011206328,-0.008190225,-0.000398883,-0.005954466,0.011437029,0.012911287,-0.002507589,0
-0.001858243,-0.004005722,0.018176169,0.02289584,-0.0024108,-0.006629449,0.007164508,-0.00445591,0.027683341,-0.01917728,-0.012244898,0.001051746,0.007534984,0.002278769,-0.009272046,-0.000196773,-0.006366139,0,-0.023401361,-0.000914077,-0.0022931,0.003696858,-0.017032293,-0.01104148,0.009075587,-0.007169118,0.004891304,-0.002262443,0.004542396,0.007385524,-0.017235665,0.007100032,-0.007644529,-0.008072654,0.009035512,0.007040704,0.003346517,0.001013342,-0.003862661,0.005312967,-0.005704431,-0.000241896,-0.000977836,-0.009589771,0.003192338,-0.003523608,0.006917653,-0.002467105,0.008467849,0.005446623
0,-0.000718184,-0.009917608,0.000945776,-0.004188819,-0.006322445,-0.020793434,-0.00376914,0.004725898,-0.007014925,0.031555222,0.016810254,-0.018162393,-0.00795756,-0.014536041,0.00118087,-0.003636364,0.007163324,-0.002507662,0.005184507,0.001880485,-0.007673419,-0.001940671,0.003922752,-0.002698188,-0.012034808,0.00459708,0.020408163,-0.018924803,0.024560117,-0.001349073,-0.003916654,0.001685123,-0.019328586,-0.000208247,-0.006336028,-0.015463918,-0.001181036,-0.003734023,-0.002312139,0.009873249,-0.006048875,-0.010766721,0.008068854,-0.000397772,0.005304102,0.009644603,0.004122012,-0.010495933,-0.006139401
0.002659574,0.006755786,0.003698567,0.00976378,-0.005338942,-0.01378579,-0.001676446,0.001182313,0.007996237,-0.006914174,0.006919155,0.001239926,-0.01523395,-0.005156608,0.006668014,0.008452919,0.001390337,0.007112376,0.001396648,-0.007281553,0.004588113,-0.012063099,-0.000277778,-0.007664563,-0.002190157,0.003748126,-0.000269179,-0.020740741,-0.003414135,0.005366726,-0.01621074,0.008335955,-0.014419611,0.003630705,-0.013955426,-0.000659631,-0.004157684,-0.008108108,0.002018163,0.000331071,-0.000264236,0.019717624,0.000659631,0.008804696,0.016315161,-0.007386563,-0.006804501,-0.010262726,-0.005171042,-0.006177326
-0.003713528,-0.003283838,-0.004145555,-0.004366812,-0.009921926,-0.002150538,0.013154212,-0.005668399,-0.013065796,-0.00620554,0.001084991,-0.020227038,-0.002578269,0.001151853,-0.006423123,0.007017544,-0.008677543,-0.011299435,0.009205021,-0.000611247,0.003736766,0.001252348,-0.001250347,0.019536574,-0.007359587,-0.000933532,-0.004577275,0.01096823,0.014559781,-0.011032028,0.00789564,0.007487131,0.003657644,-0.011369509,0.000422476,-0.004840484,0.006030617,0.00630109,-0.000287728,-0.007446632,0.013743888,0.000954882,-0.007251154,-0.001322401,0.012920908,0.003543586,0.011198946,-0.007465782,-0.00159936,-0.004387569
0.000798722,0.00143246,-0.004933703,-0.006892231,0.004435683,-0.005028736,0.009668508,-0.012826603,0.011111111,-0.004416692,0.014089595,-0.000842637,-0.011078287,0.001534036,-0.006262626,-0.003484321,-0.009453782,-0.010714286,0.009950249,-0.004892966,0.001447777,0.000625391,-0.011823619,-0.008318479,-0.006373569,-0.007475238,0.005139302,0.01010101,-0.006415668,-0.020510975,0.002043597,-0.000464468,0.009475219,-0.002090957,0.002111486,-0.011496794,-0.013064863,-0.016923337,-0.000863434,-0.005001667,-0.007691305,0.010732173,-0.001992032,0.007415254,0.005798222,0.004943503,-0.004820847,0.009611366,-0.003737819,-0.01468968
